特效ID	播放类型(0 瞬发 1 持续)	特效层级	动画ID	特效挂点	X偏移	Y偏移	角度偏移	位置跟随	角度跟随	注释
544	0	11	544	root	262	184	0	0	0	刺针扫射受击
545	0	11	545	root	262	184	0	0	0	地震受击
546	0	11	546	root	262	184	0	0	0	肉勾反击受击
547	0	5	547	root	262	184	0	0	0	洗礼c
548	0	5	548	root	262	184	0	0	0	狩猎之夜b
549	1	11	549	root	262	184	0	1	0	地震聚气
550	0	11	550	root	262	184	0	0	0	真·地震
551	0	5	551	root	262	184	0	0	0	雷霆c
552	0	11	552	root	262	184	0	0	0	标枪受击
553	0	11	553	root	-92	184	0	0	0	【未使用】
554	0	11	554	root	262	184	0	0	0	单手受击
555	0	11	555	root	-92	184	0	0	0	【未使用】
556	0	9	556	root	-92	184	0	0	0	盾击-b
557	0	11	557	root	262	184	0	0	0	双斧受击
558	0	11	558	root	262	184	0	0	0	双拳受击
559	0	11	559	root	262	184	0	0	0	双爪受击
560	0	11	560	root	262	184	0	0	0	神灭c
561	0	11	561	root	-92	184	0	0	0	淘汰c
562	0	9	562	root	0	90	0	0	0	变羊D
2001	1	2	2001	screen	0	0	0	0	0	大教堂1
2002	1	2	2002	screen	0	0	0	0	0	大教堂2
2003	1	2	2003	screen	0	0	0	0	0	沉睡之海a
2011	1	11	2011	screen	0	0	0	0	0	蓝心冰川1
2012	1	2	2012	screen	0	0	0	0	0	蓝心冰川2
2025	1	2	2025	screen	0	0	0	0	0	埋骨地
2026	1	2	2026	screen	0	0	0	0	0	埋骨地放大
2027	1	2	2027	screen	0	0	0	0	0	银叶森林
2028	1	2	2028	screen	0	0	0	0	0	龙冢
2029	1	2	2029	screen	0	0	0	0	0	试炼塔内
2031	1	2	2031	screen	0	0	0	0	0	戮尽之地
2032	1	2	2032	screen	0	0	0	0	0	荒漠废墟
2033	1	2	2033	screen	0	0	0	0	0	灼神山
2034	1	2	2034	screen	117	22	0	0	0	晴雪城
2035	1	2	2018	screen	0	0	0	0	0	幽魂塔a
2036	1	2	2019	screen	0	0	0	0	0	幽魂塔b
2037	1	2	2045	screen	0	0	0	0	0	对抗地图a
2038	1	2	2046	screen	0	0	0	0	0	对抗地图b
2039	1	2	2047	screen	0	0	0	0	0	对抗地图c
2040	1	2	2066	screen	0	0	0	0	0	boss地图
