序号	动画名称	动画图片前缀	动画帧数	动画播放间隔	动画所在plist文件	缩放系数	UI音效ID	备注
23	skill_tuxi_a	skill_tuxi_a	26	0.083	resource/image/effect/skill_tuxi_a.plist	2	-1	幻影突袭
24	skill_jizhonghuoli_a	skill_jizhonghuoli_a	50	0.083	resource/image/effect/skill_jizhonghuoli_a.plist	2	-1	集中火力
25	skill_taotaizhiren_a	skill_taotaizhiren_a	27	0.083	resource/image/effect/skill_taotaizhiren_a.plist	2	-1	淘汰之刃
26	skill_shuangrenjian_a	skill_shuangrenjian_a	13	0.083	resource/image/effect/skill_shuangrenjian_a.plist	2	-1	双刃剑
27	skill_dizhen_a	skill_dizhen_a	9	0.083	resource/image/effect/skill_dizhen_a.plist	2	-1	地震
28	skill_huoyanbaohong_a	skill_huoyanbaohong_a	15	0.083	resource/image/effect/skill_huoyanbaohong_a.plist	2	-1	火焰爆轰
29	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	雷霆之击
30	skill_shenmiezhan_a	skill_shenmiezhan_a	15	0.083	resource/image/effect/skill_shenmiezhan_a.plist	2	-1	神灭斩
31	skill_hongliu_a	skill_hongliu_a	37	0.083	resource/image/effect/skill_hongliu_a.plist	2	-1	洪流
32	skill_zuzhou_a	skill_zuzhou_a	19	0.083	resource/image/effect/skill_zuzhou_a.plist	2	-1	诅咒
33	skill_jingmozuzhou_a	skill_jingmozuzhou_a	17	0.083	resource/image/effect/skill_jingmozuzhou_a.plist	2	-1	静默诅咒
34	skill_gelie_a	skill_gelie_a	20	0.083	resource/image/effect/skill_gelie_a.plist	2	-1	割裂
35	skill_touzhi_a	skill_touzhi_a	15	0.083	resource/image/effect/skill_touzhi_a.plist	2	-1	投掷
36	skill_faliranshao_a	skill_faliranshao_a	14	0.083	resource/image/effect/skill_faliranshao_a.plist	2	-1	法力燃烧
37	skill_juedou_a	skill_juedou_a	13	0.083	resource/image/effect/skill_juedou_a.plist	2	-1	决斗
38	skill_rougou_a	skill_rougou_a	30	0.083	resource/image/effect/skill_rougou_a.plist	2	-1	肉钩
39	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	盛宴
40	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	法力毁损
41	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	吸血
42	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	怒意狂击
43	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	秘法天球
44	skill_zhongji_a	skill_zhongji_a	7	0.083	resource/image/effect/skill_zhongji_a.plist	2	-1	重击
45	skill_ansha_a	skill_ansha_a	23	0.083	resource/image/effect/skill_ansha_a.plist	2	-1	暗杀
46	skill_jingdianchang_a	skill_jingdianchang_a	16	0.083	resource/image/effect/skill_jingdianchang_a.plist	2	-1	静电场
47	skill_yaoshu_a	skill_yaoshu_a	14	0.083	resource/image/effect/skill_yaoshu_a.plist	2	-1	妖术
48	skill_bingfengmoyin_a	skill_bingfengmoyin_a	13	0.083	resource/image/effect/skill_bingfengmoyin_a.plist	2	-1	冰封魔印
49	skill_shouhutianshi_a	skill_shouhutianshi_a	16	0.083	resource/image/effect/skill_shouhutianshi_a.plist	2	-1	守护天使
50	skill_xuwu_a	skill_xuwu_a	16	0.083	resource/image/effect/skill_xuwu_a.plist	2	-1	虚无
51	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	折射
52	skill_fanjiluoxuan_a	skill_fanjiluoxuan_a	8	0.083	resource/image/effect/skill_fanjiluoxuan_a.plist	2	-1	反击螺旋
53	skill_xili_a	skill_xili_a	19	0.083	resource/image/effect/skill_xili_a.plist	2	-1	洗礼
54	skill_cizhensaoshe_a	skill_cizhensaoshe_a	15	0.083	resource/image/effect/skill_cizhensaoshe_a.plist	2	-1	刺针扫射
55	skill_chongsheng_b	skill_chongsheng_b	17	0.083	resource/image/effect/skill_chongsheng_b.plist	2	-1	重生
56	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【受击-投掷】
57	skill_daoguang_a	skill_daoguang_a	4	0.083	resource/image/effect/skill_daoguang_a.plist	2	-1	普通攻击·单手
58	skill_difagongji_a	skill_difagongji_a	7	0.083	resource/image/effect/skill_difagongji_a.plist	2	-1	普通攻击·双刀
59	skill_gunbanggongji_a	skill_gunbanggongji_a	3	0.083	resource/image/effect/skill_gunbanggongji_a.plist	2	-1	普通攻击·棍棒
60	skill_zhongwu_a	skill_zhongwu_a	10	0.083	resource/image/effect/skill_zhongwu_a.plist	2	-1	普通攻击·重武
61	skill_jiangongji_a	skill_jiangongji_a	15	0.083	resource/image/effect/skill_jiangongji_a.plist	2	-1	普通攻击·弓箭
62	skill_cigongji_a	skill_cigongji_a	11	0.083	resource/image/effect/skill_cigongji_a.plist	2	-1	普通攻击·枪刺
63	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	普通攻击·空手
64	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	
65	skill_gongji15_a	skill_gongji15_a	12	0.083	resource/image/effect/skill_gongji15_a.plist	2	-1	普通攻击·法杖
501	action_chuchangyan_b	action_chuchangyan_b	4	0.083	resource/image/effect/action_chuchangyan_b.plist	1	-1	出场b
502	skill_cigongji_b	skill_cigongji_b	6	0.083	resource/image/effect/skill_cigongji_b.plist	2	-1	枪刺受击
503	skill_jiangongji_b	skill_jiangongji_b	5	0.083	resource/image/effect/skill_jiangongji_b.plist	1	-1	弓箭受击
504	skill_taotaizhiren_b	skill_taotaizhiren_b	8	0.083	resource/image/effect/skill_taotaizhiren_b.plist	2	-1	淘汰之刃b
505	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【投掷b】
506	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【投掷受击b】
507	skill_dizhen_c	skill_dizhen_c	16	0.083	resource/image/effect/skill_dizhen_c.plist	2	-1	真·地震
508	skill_yaoshu_c	skill_yaoshu_c	5	0.2	resource/image/effect/skill_yaoshu_c.plist	1	-1	妖术变羊
509	skill_huiyao_b	skill_huiyao_b	11	0.083	resource/image/effect/skill_huiyao_b.plist	2	-1	辉耀受击
510	skill_rougou_b	skill_rougou_b	5	0.083	resource/image/effect/skill_rougou_b.plist	2	-1	肉钩受击
511	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【静电场b】
512	skill_zhongji_b	skill_zhongji_b	5	0.083	resource/image/effect/skill_zhongji_b.plist	2	-1	重击受击
513	kong	kong	3	0.083	resource/image/effect/kong.plist	2	-1	暗杀受击
514	kong	kong	3	0.083	resource/image/effect/kong.plist	2	-1	火焰爆轰受击
515	skill_tongyongshouji_a	skill_tongyongshouji_a	3	0.083	resource/image/effect/skill_tongyongshouji_a.plist	2	-1	空手受击
516	skill_daoguang_b	skill_daoguang_b	4	0.083	resource/image/effect/skill_daoguang_b.plist	2	-1	单手受击
517	skill_tongyongshouji_a	skill_tongyongshouji_a	3	0.083	resource/image/effect/skill_tongyongshouji_a.plist	2	-1	双刀受击
518	skill_tongyongshouji_a	skill_tongyongshouji_a	3	0.083	resource/image/effect/skill_tongyongshouji_a.plist	2	-1	棍棒受击
519	skill_tongyongshouji_a	skill_tongyongshouji_a	3	0.083	resource/image/effect/skill_tongyongshouji_a.plist	2	-1	重武受击
520	skill_yaoshu_b	skill_yaoshu_b	10	0.083	resource/image/effect/skill_yaoshu_b.plist	3	-1	妖术烟
521	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【静电场c】
522	skill_jizhonghuoli_b	skill_jizhonghuoli_b	43	0.083	resource/image/effect/skill_jizhonghuoli_b.plist	2	-1	集中火力受击
523	skill_bingfengmoyin_e	skill_bingfengmoyin_e	6	0.083	resource/image/effect/skill_bingfengmoyin_e.plist	2	-1	冰封魔印e
524	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【诅咒b】
525	skill_shanggufengyin_b	skill_shanggufengyin_b	17	0.083	resource/image/effect/skill_shanggufengyin_b.plist	2	-1	上古封印b
526	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	虚无
527	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【自然秩序b】
528	skill_tongyongshouji_a	skill_tongyongshouji_a	5	0.083	resource/image/effect/skill_tongyongshouji_a.plist	2	-1	通用受击
529	skill_leitingzhiji_a	skill_leitingzhiji_a	5	0.083	resource/image/effect/skill_leitingzhiji_a.plist	2	-1	雷霆之击
530	skill_leitingzhiji_b	skill_leitingzhiji_b	10	0.083	resource/image/effect/skill_leitingzhiji_b.plist	2	-1	雷霆之击云
531	skill_xili_b	skill_xili_b	19	0.083	resource/image/effect/skill_xili_b.plist	4	-1	洗礼b
532	skill_shenmiezhan_b	skill_shenmiezhan_b	9	0.083	resource/image/effect/skill_shenmiezhan_b.plist	2	-1	神灭斩受击
533	skill_jingmozuzhou_b	skill_jingmozuzhou_b	17	0.083	resource/image/effect/skill_jingmozuzhou_b.plist	2	-1	静默诅咒b
534	skill_jingmozuzhou_c	skill_jingmozuzhou_c	3	0.166	resource/image/effect/skill_jingmozuzhou_c.plist	1	-1	静默诅咒c
535	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【狂战士buff】
536	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【狩猎之夜buff】
537	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【洪流buff】
538	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	【割裂buff】
539	skill_juedou_b	skill_juedou_b	13	0.083	resource/image/effect/skill_juedou_b.plist	2	-1	决斗buff
540	skill_xuanyun_a	skill_xuanyun_a	14	0.083	resource/image/effect/skill_xuanyun_a.plist	2	-1	眩晕buff
541	skill_shouhutianshi_b	skill_shouhutianshi_b	18	0.083	resource/image/effect/skill_shouhutianshi_b.plist	2	-1	守护天使buff
542	skill_gelie_c	skill_gelie_c	9	0.083	resource/image/effect/skill_gelie_c.plist	1	-1	割裂掉血
543	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	反击螺旋受击
544	skill_cizhensaoshe_c	skill_cizhensaoshe_c	4	0.083	resource/image/effect/skill_cizhensaoshe_c.plist	2	-1	刺针扫射受击
545	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	地震受击
546	kong	kong	1	0.083	resource/image/effect/kong.plist	2	-1	肉勾反击受击
547	skill_xili_c	skill_xili_c	19	0.083	resource/image/effect/skill_xili_c.plist	2	-1	洗礼b
548	skill_shouliezhiye_b	skill_shouliezhiye_b	14	0.083	resource/image/effect/skill_shouliezhiye_b.plist	2	-1	狩猎之夜b
549	skill_dizhen_b	skill_dizhen_b	15	0.083	resource/image/effect/skill_dizhen_b.plist	2	-1	地震聚气
550	skill_dizhen_d	skill_dizhen_d	11	0.083	resource/image/effect/skill_dizhen_d.plist	2	-1	真地震施法
551	skill_leitingzhiji_c	skill_leitingzhiji_c	4	0.083	resource/image/effect/skill_leitingzhiji_c.plist	2	-1	雷霆c
552	skill_pugongbiaoqiang_a	skill_pugongbiaoqiang_a	4	0.083	resource/image/effect/skill_pugongbiaoqiang_a.plist	2	-1	标枪受击
553	skill_pugongdanshoukan_a	skill_pugongdanshoukan_a	4	0.083	resource/image/effect/skill_pugongdanshoukan_a.plist	2	-1	单手攻击
554	skill_pugongdanshoukan_b	skill_pugongdanshoukan_b	4	0.083	resource/image/effect/skill_pugongdanshoukan_b.plist	2	-1	单手受击
555	skill_pugongdunji_a	skill_pugongdunji_a	5	0.083	resource/image/effect/skill_pugongdunji_a.plist	2	-1	盾击-a
556	skill_pugongdunji_b	skill_pugongdunji_b	3	0.083	resource/image/effect/skill_pugongdunji_b.plist	2	-1	盾击-b
557	skill_pugongshuangfu_a	skill_pugongshuangfu_a	7	0.083	resource/image/effect/skill_pugongshuangfu_a.plist	2	-1	双斧受击
558	skill_pugongshuangquan_a	skill_pugongshuangquan_a	7	0.083	resource/image/effect/skill_pugongshuangquan_a.plist	2	-1	双拳受击
559	skill_pugongshuangzhua_a	skill_pugongshuangzhua_a	9	0.083	resource/image/effect/skill_pugongshuangzhua_a.plist	2	-1	双爪受击
560	skill_shenmiezhan_c	skill_shenmiezhan_c	5	0.083	resource/image/effect/skill_shenmiezhan_c.plist	2	-1	神灭c
561	skill_taotaizhiren_c	skill_taotaizhiren_c	7	0.083	resource/image/effect/skill_taotaizhiren_c.plist	2	-1	淘汰c
562	skill_yaoshu_d	skill_yaoshu_d	12	0.083	resource/image/effect/skill_yaoshu_d.plist	1	-1	妖术D（掉下来）
2001	scn_dajiaotang_a	scn_dajiaotang_a	4	0.167	resource/image/effect/scn_dajiaotang_a.plist	2	-1	大教堂特效1
2002	scn_dajiaotang_b	scn_dajiaotang_b	4	0.25	resource/image/effect/scn_dajiaotang_b.plist	2	-1	大教堂特效2
2003	scn_chenshuizhihai_a	scn_chenshuizhihai_a	4	0.25	resource/image/effect/scn_chenshuizhihai_a.plist	2	-1	沉睡之海
2004	scn_lanhuobig_a	scn_lanhuobig_a	8	0.083	resource/image/effect/scn_lanhuobig_a.plist	1	-1	蓝色大火焰
2005	scn_huanghuobig_a	scn_huanghuobig_a	8	0.083	resource/image/effect/scn_huanghuobig_a.plist	1	-1	黄色大火焰
2006	scn_huanghuosmall_a	scn_huanghuosmall_a	8	0.17	resource/image/effect/scn_huanghuosmall_a.plist	1	-1	黄色小火焰
2007	scn_kuangdong_a	scn_kuangdong_a	10	0.125	resource/image/effect/scn_kuangdong_a.plist	1	-1	矿洞
2008	scn_jitan_a	scn_jitan_a	10	0.125	resource/image/effect/scn_jitan_a.plist	1	-1	祭坛
2009	scn_yiji_a	scn_yiji_a	10	0.125	resource/image/effect/scn_yiji_a.plist	1	-1	远古遗迹
2010	scn_boxstar_a	scn_boxstar_a	10	0.125	resource/image/effect/scn_boxstar_a.plist	1	-1	宝箱星星
2011	scn_boxlight_a	scn_boxlight_a	10	0.125	resource/image/effect/scn_boxlight_a.plist	1	-1	宝箱光
2012	scn_zhuchenqizi_a	scn_zhuchenqizi_a	10	0.083	resource/image/effect/scn_zhuchenqizi_a.plist	1	-1	主城旗子
2013	communication_watting	communication_watting	8	0.125	resource/image/effect/communication_watting.plist	1	-1	通信圈
2014	scn_jingjiqizi_a	scn_jingjiqizi_a	10	0.083	resource/image/effect/scn_jingjiqizi_a.plist	1	-1	竞技场旗子
2015	scn_xuanren_a	scn_xuanren_a	4	0.25	resource/image/effect/scn_xuanren_a.plist	1	-1	选人1
2016	scn_xuanren_b	scn_xuanren_b	4	0.25	resource/image/effect/scn_xuanren_b.plist	1	-1	选人2
2017	ui_renwutishi_a	ui_renwutishi_a	8	0.125	resource/image/effect/ui_renwutishi_a.plist	1	-1	任务提示
2018	scn_youhunta_a	scn_youhunta_a	16	0.17	resource/image/effect/scn_youhunta_a.plist	1	-1	幽魂塔a
2019	scn_youhunta_b	scn_youhunta_b	4	0.25	resource/image/effect/scn_youhunta_b.plist	1	-1	幽魂塔b
2022	ui_xilian_a	ui_xilian_a	11	0.1	resource/image/effect/ui_xilian_a.plist	2	69	装备洗炼
2023	ui_pata_a	ui_pata_a	4	0.083	resource/image/effect/ui_pata_a.plist	1	-1	爬塔
2024	ui_zbshengji_a	ui_zbshengji_a	32	0.083	resource/image/effect/ui_zbshengji_a.plist	2	66	装备升级
2025	scn_maiguzhidi_a	scn_maiguzhidi_a	4	0.25	resource/image/effect/scn_maiguzhidi_a.plist	1	-1	埋骨地
2026	scn_maiguzhidi_b	scn_maiguzhidi_b	4	0.25	resource/image/effect/scn_maiguzhidi_b.plist	2	-1	埋骨地大
2027	scn_yinyesenlin_a	scn_yinyesenlin_a	4	0.16	resource/image/effect/scn_yinyesenlin_a.plist	1	-1	银叶森林
2028	scn_longzhong_a	scn_longzhong_a	4	0.25	resource/image/effect/scn_longzhong_a.plist	2	-1	龙冢
2029	scn_shiliantanei_a	scn_shiliantanei_a	4	0.25	resource/image/effect/scn_shiliantanei_a.plist	1	-1	试炼塔内
2030	ui_jinjienew_a	ui_jinjienew_a	11	0.17	resource/image/effect/ui_jinjienew_a.plist	2	65	英雄进阶
2031	scn_lujinzhidi_a	scn_lujinzhidi_a	4	0.166	resource/image/effect/scn_lujinzhidi_a.plist	1	-1	戮尽之地
2032	scn_huangmofeixu_a	scn_huangmofeixu_a	4	0.25	resource/image/effect/scn_huangmofeixu_a.plist	1	-1	荒漠废墟
2033	scn_zhuoshenshan_a	scn_zhuoshenshan_a	15	0.166	resource/image/effect/scn_zhuoshenshan_a.plist	2	-1	灼神山
2034	scn_hudie_a	scn_hudie_a	30	0.083	resource/image/effect/scn_hudie_a.plist	1	-1	晴雪城
2035	ui_dianjin_b	ui_dianjin_b	4	0.1	resource/image/effect/ui_dianjin_b.plist	1	-1	点金背光
2036	ui_dianjin_d	ui_dianjin_d	14	0.083	resource/image/effect/ui_dianjin_d.plist	2	-1	点金金币动画
2037	ui_dianjinew_a	ui_dianjinew_a	11	0.083	resource/image/effect/ui_dianjinew_a.plist	1	-1	背包点击动画
2038	ui_xianji_a	ui_xianji_a	8	0.17	resource/image/effect/ui_xianji_a.plist	2	-1	献祭a
2039	ui_xianji_b	ui_xianji_b	8	0.17	resource/image/effect/ui_xianji_b.plist	2	-1	献祭b
2040	ui_xianji_c	ui_xianji_c	8	0.17	resource/image/effect/ui_xianji_c.plist	2	-1	献祭c
2041	ui_zhaohuan_a	ui_zhaohuan_a	10	0.083	resource/image/effect/ui_zhaohuan_a.plist	1	-1	召唤
2042	ui_chongzhi_a	ui_chongzhi_a	10	0.083	resource/image/effect/ui_chongzhi_a.plist	1	-1	VIP充值
2043	ui_dianjin_a	ui_dianjin_a	10	0.083	resource/image/effect/ui_dianjin_a.plist	1	-1	点金
2044	ui_jinengzhuanjing_a	ui_jinengzhuanjing_a	15	0.125	resource/image/effect/ui_jinengzhuanjing_a.plist	1	-1	技能专精特效
2045	scn_duikangditu_a	scn_duikangditu_a	16	0.17	resource/image/effect/scn_duikangditu_a.plist	1	-1	对抗地图a
2046	scn_duikangditu_b	scn_duikangditu_b	4	0.25	resource/image/effect/scn_duikangditu_b.plist	1	-1	对抗地图b
2047	scn_duikangditu_c	scn_duikangditu_c	4	0.25	resource/image/effect/scn_duikangditu_c.plist	1	-1	对抗地图c
2048	ui_shengji_a	ui_shengji_a	10	0.083	resource/image/effect/ui_shengji_a.plist	1	-1	英雄升级
2049	ui_chongzhi_a	ui_chongzhi_a	10	0.083	resource/image/effect/ui_chongzhi_a.plist	0.7	-1	统率力升级
2050	ui_zhaohuan_b	ui_zhaohuan_b	6	0.125	resource/image/effect/ui_zhaohuan_b.plist	1	-1	召唤b
2051	ui_zhaohuan_c	ui_zhaohuan_c	6	0.125	resource/image/effect/ui_zhaohuan_c.plist	1	-1	召唤c
2052	ui_lingqu_a	ui_lingqu_a	10	0.083	resource/image/effect/ui_lingqu_a.plist	1	-1	冒险领取
2053	ui_xianji_d	ui_xianji_d	12	0.1	resource/image/effect/ui_xianji_d.plist	2	-1	召唤到已有英雄
2054	ui_zhaohuan_d	ui_zhaohuan_d	10	0.083	resource/image/effect/ui_zhaohuan_d.plist	1	-1	召唤点击特效
2055	ui_xianshirenwu_a	ui_xianshirenwu_a	10	0.1	resource/image/effect/ui_xianshirenwu_a.plist	1	-1	限时任务
2056	ui_patabaoxiang_a	ui_patabaoxiang_a	10	0.1	resource/image/effect/ui_patabaoxiang_a.plist	1	-1	爬塔宝箱
2057	ui_newhero	ui_newhero	20	0.125	resource/image/effect/ui_newhero.plist	2	-1	召唤新英雄
2058	ui_guankatishi_a	ui_guankatishi_a	10	0.083	resource/image/effect/ui_guankatishi_a.plist	1	-1	当前大关卡
2059	ui_renwuqianwang_a	ui_renwuqianwang_a	15	0.083	resource/image/effect/ui_renwuqianwang_a.plist	1	-1	任务箭头
2060	ui_chucheng_a	ui_chucheng_a	15	0.083	resource/image/effect/ui_chucheng_a.plist	1	-1	出城按钮
2061	ui_wenquan_a	ui_wenquan_a	10	0.083	resource/image/effect/ui_wenquan_a.plist	1	-1	活动图标
2062	ui_fuwen_a	ui_fuwen_a	15	0.083	resource/image/effect/ui_fuwen_a.plist	1	-1	主城符文
2063	ui_zuanshishop_a	ui_zuanshishop_a	10	0.083	resource/image/effect/ui_zuanshishop_a.plist	1	-1	钻石商店
2064	ui_zhanhunjihuo_a	ui_zhanhunjihuo_a	20	0.083	resource/image/effect/ui_zhanhunjihuo_a.plist	1	-1	战魂a
2065	ui_zhanhunjihuo_b	ui_zhanhunjihuo_b	8	0.083	resource/image/effect/ui_zhanhunjihuo_b.plist	1	-1	战魂b
2066	scn_bossditu_a	scn_bossditu_a	4	0.17	resource/image/effect/scn_bossditu_a.plist	2	-1	boss地图
2067	ui_lieren_a	ui_lieren_a	10	0.083	resource/image/effect/ui_lieren_a.plist	1	-1	发现猎人
2068	ui_lieren_b	ui_lieren_b	5	0.1	resource/image/effect/ui_lieren_b.plist	1	-1	猎人激活
2069	ui_fenjie_a	ui_fenjie_a	17	0.083	resource/image/effect/ui_fenjie_a.plist	2	-1	装备分解
