id	音效id	音效触发时间	数量	效果1类型	效果1索引	效果1触发点	效果2类型	效果2索引	效果2触发点	效果3类型	效果3索引	效果3触发点	效果4类型	效果4索引	效果4触发点	效果5类型	效果5索引	效果5触发点	效果6类型	效果6索引	效果6触发点	注释
517	-1	0	1	1	517	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·双刀
518	-1	0	1	1	518	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·棍棒
519	-1	0	1	1	519	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·重武
520	-1	0	0	1	520	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	妖术烟
522	-1	0	1	1	522	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	集中受击
523	-1	0	4	1	523	0	5	3	0	2	4	0	2	13	0	-1	-1	-1	-1	-1	-1	冰封魔印e
524	-1	0	1	2	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	诅咒b
525	-1	0	1	1	525	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	上古封印b
526	-1	0	1	5	4	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	虚无
527	-1	0	1	2	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	自然秩序b
528	-1	0	1	1	528	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	通用受击
529	27	0	2	1	529	0	1	551	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	雷霆之击
530	-1	0	1	1	530	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	雷霆之击云
531	-1	0	1	1	530	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	苍穹雷击云
532	-1	0	1	1	532	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	神灭斩受击
534	-1	0	1	1	534	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	静默诅咒c
535	-1	0	4	2	1	913	2	2	913	2	11	913	2	12	913	-1	-1	-1	-1	-1	-1	狂战士buff
536	-1	0	2	2	10	664	6	20	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	狩猎之夜buff
537	-1	0	1	2	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	洪流buff
538	-1	0	1	2	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	割裂buff
539	-1	0	1	1	539	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	决斗buff
540	-1	0	1	1	540	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	眩晕buff
541	-1	0	1	1	541	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	守护天使buff
542	-1	0	1	1	542	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	割裂掉血
543	-1	0	1	1	543	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	反击螺旋受击
544	-1	0	1	1	544	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	刺针扫射受击
545	-1	0	1	1	545	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	地震受击
546	-1	0	1	1	546	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	肉钩反击
549	-1	0	1	1	549	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	狂战士buff
550	-1	0	1	1	504	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	淘汰之刃受击
551	-1	0	1	1	558	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·双拳
552	-1	0	1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·法杖
553	-1	0	1	1	552	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·标枪
554	-1	0	1	1	557	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·双斧
555	-1	0	1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·空手双爪
556	-1	0	1	1	554	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·单手钝器
557	-1	0	1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·盾击
558	-1	0	1	1	559	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	普通攻击·双爪连击
559	71	0	3	2	7	0	2	8	0	2	9	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	诅咒c
2001	-1	0	1	1	2001	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大教堂1
2002	-1	0	1	1	2002	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大教堂2
2003	-1	0	1	1	2003	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	沉睡之海a
2011	-1	0	0	1	2011	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	蓝心冰川1
2012	-1	0	2	2	17	0	2	18	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	蓝心冰川2
2025	-1	0	1	1	2025	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	埋骨地
2026	-1	0	1	1	2026	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	埋骨地2
2027	-1	0	1	1	2027	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	银叶森林
2028	-1	0	1	1	2028	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙冢
2029	-1	0	1	1	2029	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	试炼塔内
2031	-1	0	1	1	2031	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	戮尽之地
2032	-1	0	1	1	2032	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	荒漠废墟
2033	-1	0	1	1	2033	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灼神山
2034	-1	0	3	2	14	0	2	15	0	2	16	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	
2035	-1	0	1	1	2034	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	晴雪城
2036	-1	0	2	1	2035	0	1	2036	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	幽魂塔
2037	-1	0	3	1	2037	0	1	2038	0	1	2039	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	对抗地图
2038	-1	0	3	1	2040	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	boss地图
