NPCTalkID	地图ID	关卡ID	战前对话页数	对话1角色(0 玩家 1 NPC)	对话1内容	对话2角色(0 玩家 1 NPC)	对话2内容	对话3角色(0 玩家 1 NPC)	对话3内容	对话4角色(0 玩家 1 NPC)	对话4内容	对话5角色(0 玩家 1 NPC)	对话5内容	对话6角色(0 玩家 1 NPC)	对话6内容	胜利对话页数	对话1角色(0 玩家 1 NPC)	对话1内容	对话2角色(0 玩家 1 NPC)	对话2内容	对话3角色(0 玩家 1 NPC)	对话3内容	对话4角色(0 玩家 1 NPC)	对话4内容	对话5角色(0 玩家 1 NPC)	对话5内容	对话6角色(0 玩家 1 NPC)	对话6内容	失败对话页数	对话1角色(0 玩家 1 NPC)	对话1内容	对话2角色(0 玩家 1 NPC)	对话2内容	对话3角色(0 玩家 1 NPC)	对话3内容	对话4角色(0 玩家 1 NPC)	对话4内容	对话5角色(0 玩家 1 NPC)	对话5内容	对话6角色(0 玩家 1 NPC)	对话6内容
12	4	5	2	1	10044	0	10045	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	4	10	2	1	10040	0	10041	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	10042	0	10043	-1	-1	-1	-1	-1	-1	-1	-1
14	4	15	2	0	10037	1	10038	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10039	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	4	18	2	0	10046	1	10047	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	4	19	2	1	10048	0	10049	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	4	20	2	1	10050	0	10051	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	5	1	1	0	10052	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	5	5	2	1	10053	0	10054	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	5	10	2	0	10055	1	10056	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	5	15	2	0	10057	1	10058	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10059	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	5	18	2	1	10060	0	10061	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	5	19	2	1	10062	0	10063	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	5	20	2	1	10064	0	10065	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	1	3	2	0	10126	1	10127	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10128	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	1	7	2	0	10129	1	10130	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10131	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	2	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	2	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	2	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	2	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	2	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	2	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	2	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	3	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	3	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	3	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	3	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	3	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	3	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	3	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	3	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	1001	1	1	1	11001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	1001	10	1	1	11002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	1001	20	1	1	11003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	1001	30	1	1	11004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	1001	40	1	1	11005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	1001	50	1	1	11006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	1001	60	1	1	11007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	1001	70	1	1	11008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	1001	80	1	1	11009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	1001	90	1	1	11010	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	3	20	2	1	10123	0	10124	-1	-1	-1	-1	-1	-1	-1	-1	1	0	10125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	657	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
