技能ID	技能名称SYSID	技能图标	技能动画组ID	tooltips：发动时机	tooltips：伤害	tooltips：效果描述	tooltips：持续时间	tooltips：发动限制	tooltips：专精效果	客户端显示位置X	客户端显示位置Y	受击动作时间点	受击特效时间点	给自己驻留的BufferID	
29	328	47	29	0	0	0	0	0	0	10	2	1267	1267	-1	重击
30	329	48	30	0	0	0	0	0	0	9	2	1328	1328	-1	暗杀
31	330	49	31	0	0	0	0	0	0	8	2	600	600	-1	静电场
32	331	50	32	0	0	0	0	0	0	4	3	0	1200	-1	妖术
33	332	51	33	0	0	0	0	0	0	4	4	0	0	-1	冰封魔印
34	333	52	34	0	0	0	0	0	0	6	3	0	0	-1	守护天使
35	334	53	35	0	0	0	0	0	0	7	4	0	0	-1	虚无
36	335	54	36	0	0	0	0	0	0	7	1	0	0	-1	折射
37	336	55	37	0	0	0	0	0	0	7	3	0	0	-1	反击螺旋
38	337	56	38	0	0	0	0	0	0	6	1	0	0	-1	洗礼
39	338	57	39	0	0	0	0	0	0	7	2	0	0	-1	刺针扫射
40	339	58	40	0	0	0	0	0	0	6	4	0	0	-1	重生
41	0	-1	41	0	0	0	0	0	0	0	0	500	500	-1	真·反击螺旋
42	0	-1	42	0	0	0	0	0	0	0	0	0	0	-1	真·洗礼
43	0	-1	43	0	0	0	0	0	0	0	0	767	767	-1	真·针刺扫射
44	0	-1	44	0	0	0	0	0	0	0	0	767	767	-1	真·地震
45	0	0	45	0	0	0	0	0	0	0	0	1000	1000	-1	普通攻击·空手2
46	0	0	46	0	0	0	0	0	0	0	0	1273	1273	-1	普通攻击·单手3
47	0	0	47	0	0	0	0	0	0	0	0	1000	1000	-1	普通攻击·双刀6
48	0	0	48	0	0	0	0	0	0	0	0	1440	1440	-1	普通攻击·棍棒1
49	0	0	49	0	0	0	0	0	0	0	0	1406	1406	-1	普通攻击·重武5
50	0	0	50	0	0	0	0	0	0	0	0	968	968	-1	普通攻击·弓箭7
51	0	0	51	0	0	0	0	0	0	0	0	1200	1200	-1	普通攻击·刺击2
52	0	-1	52	0	0	0	0	0	0	0	0	500	500	-1	肉钩反击
53	0	0	53	0	0	0	0	0	0	0	0	1133	1133	-1	普通攻击·双拳4
54	0	0	54	0	0	0	0	0	0	0	0	1066	1066	-1	普通攻击·法杖8
55	0	0	55	0	0	0	0	0	0	0	0	800	800	-1	普通攻击·标枪9
56	0	0	56	0	0	0	0	0	0	0	0	933	933	-1	普通攻击·双斧10
57	0	0	57	0	0	0	0	0	0	0	0	866	866	-1	普通攻击·空手双爪11
58	0	0	58	0	0	0	0	0	0	0	0	1340	1340	-1	普通攻击·单手钝器12
59	0	0	59	0	0	0	0	0	0	0	0	1000	1000	-1	普通攻击·盾击13
60	0	0	60	0	0	0	0	0	0	0	0	866	866	-1	普通攻击·双爪连击14
100	0	-1	61	0	0	0	0	0	0	0	0	0	0	-1	【战魂技能】退化光环
101	0	-1	61	0	0	0	0	0	0	0	0	0	0	-1	【战魂技能】忍术
102	0	-1	66	0	0	0	0	0	0	0	0	0	0	-1	【战魂技能】魔王降临
103	0	-1	65	0	0	0	0	0	0	0	0	0	0	-1	【战魂技能】衰老
104	0	-1	62	0	0	0	0	0	0	0	0	500	500	-1	【战魂技能】真·能量黑洞
105	302	-1	63	0	0	0	0	0	0	0	0	600	600	-1	【战魂技能】最后遗言
106	313	-1	64	0	0	0	0	0	0	0	0	800	800	-1	【战魂技能】苍穹雷击
203	302	21	3	0	0	0	0	0	0	0	0	600	600	-1	上古封印
204	303	22	4	0	0	0	0	0	0	0	0	600	600	-1	自然秩序
205	304	23	5	0	0	0	0	0	0	0	0	0	0	-1	狩猎之夜
206	305	24	6	0	0	0	0	0	0	0	0	0	0	-1	炽魂
208	307	26	8	0	0	0	0	0	0	0	0	1760	1760	-1	幻影突袭
210	309	28	10	0	0	0	0	0	0	0	0	2075	2075	-1	淘汰之刃
211	310	29	11	0	0	0	0	0	0	0	0	1728	1728	-1	双刃剑
212	311	30	12	0	0	0	0	0	0	0	0	767	767	-1	地震
213	312	31	13	0	0	0	0	0	0	0	0	1800	1800	-1	火焰爆轰
214	313	32	14	0	0	0	0	0	0	0	0	800	800	-1	雷霆之击
215	314	33	15	0	0	0	0	0	0	0	0	1245	1245	-1	神灭斩
216	315	34	16	0	0	0	0	0	0	0	0	2400	2400	-1	洪流
217	316	35	17	0	0	0	0	0	0	0	0	600	600	-1	诅咒
221	320	39	21	0	0	0	0	0	0	0	0	600	600	-1	法力燃烧
229	328	47	29	0	0	0	0	0	0	0	0	1267	1267	-1	重击
230	329	48	30	0	0	0	0	0	0	0	0	1328	1328	-1	暗杀
234	333	52	34	0	0	0	0	0	0	0	0	0	0	-1	守护天使
235	334	53	35	0	0	0	0	0	0	0	0	0	0	-1	虚无
237	336	55	37	0	0	0	0	0	0	0	0	0	0	-1	反击螺旋
238	337	56	38	0	0	0	0	0	0	0	0	0	0	-1	洗礼
240	339	58	40	0	0	0	0	0	0	0	0	0	0	-1	重生
244	0	-1	44	0	0	0	0	0	0	0	0	767	767	-1	真·地震
