特效ID	"特效层级
背景ZOrder     1
场景特效ZOrder 2
战斗UI标签ZOrder      3 or 4
技能面板 以及 加速 重播 退出 按钮 层级  15
攻击者层级ZOrder      10
受击者层级ZOrder      6"	播放方式(0 瞬发 1 持续)	音效触发时间点	触发音效ID(-1无音效)	"特效挂点
0－效果作用者
1－对方
2－屏幕底部中心点"	X偏移FLOAT	Y偏移FLOAT	是否伴随（0 不伴随 1 伴随）	Role效果触发时间点	Role颜色变化ID	动画ID	震动触发时间点MS	震动ID	注释	是否场景特效
62	11	0	0	-1	0	-92	184	0	0	-1	62	0	-1	普通攻击·枪刺	
63	11	0	0	-1	0	-92	184	0	0	-1	63	0	-1	普通攻击·空手	
501	5	0	0	-1	0	262	184	0	0	-1	501	0	-1	出场b	
502	11	0	0	-1	0	262	184	0	0	-1	502	0	-1	枪刺受击	
503	11	0	0	-1	0	262	184	0	0	-1	503	0	-1	弓箭受击	
504	9	0	0	-1	0	-92	184	0	0	-1	504	0	-1	淘汰之刃b	
505	5	0	0	-1	0	-92	184	0	0	-1	505	0	-1	投掷b	
506	5	0	0	-1	0	262	184	0	0	-1	506	0	-1	投掷受击b	
507	9	0	0	-1	0	262	184	0	0	-1	507	0	-1	真·地震	
508	7	1	0	-1	0	0	70	0	0	-1	508	0	-1	妖术羊	
509	11	0	0	-1	0	262	184	0	0	-1	509	0	-1	浑耀受击	
510	11	0	0	-1	0	262	184	0	0	-1	510	0	-1	肉钩受击	
511	11	0	0	-1	0	262	184	0	0	-1	511	0	-1	静电场受击	
512	11	0	0	-1	0	262	184	0	0	-1	512	0	-1	重击受击	
513	11	0	0	-1	0	262	184	0	0	1	-1	0	-1	暗杀受击	
514	11	0	0	-1	0	262	184	0	0	-1	514	0	-1	火焰爆轰受击	
515	11	0	0	-1	0	262	184	0	0	-1	528	0	-1	空手受击	
516	11	0	0	-1	0	262	184	0	0	-1	516	0	-1	单手受击	
517	11	0	0	-1	0	262	184	0	0	-1	517	0	-1	双刀受击	
518	11	0	0	-1	0	262	184	0	0	-1	518	0	-1	棍棒受击	
519	11	0	0	-1	0	262	184	0	0	-1	519	0	-1	重武受击	
520	11	0	0	-1	0	262	184	0	0	-1	520	0	-1	妖术烟	
521	5	0	0	-1	0	262	184	0	0	-1	521	0	-1	静电场c	
522	11	0	0	-1	0	262	184	0	0	-1	522	2750	2	集中受击	
523	5	1	0	-1	0	262	184	0	0	-1	523	0	-1	冰封魔印e	
524	11	1	0	-1	0	262	184	1	0	-1	524	0	-1	诅咒b	
525	11	1	0	-1	0	262	184	1	0	-1	525	0	-1	上古封印b	
526	5	1	0	-1	0	262	184	1	0	4	526	0	-1	虚无	
527	11	1	0	-1	0	262	184	1	0	-1	527	0	-1	自然秩序b	
528	11	0	0	-1	0	262	184	0	0	-1	528	0	-1	通用受击	
529	11	0	0	-1	0	262	184	0	0	-1	529	0	-1	雷霆之击	
530	11	1	0	-1	0	262	184	1	0	-1	530	0	-1	雷霆之击云	
531	11	0	0	-1	0	262	184	0	0	-1	531	0	-1	洗礼b	
532	11	0	0	-1	0	262	184	0	0	-1	532	0	-1	神灭斩受击	
533	5	0	0	-1	0	262	184	0	0	-1	533	0	-1	静默诅咒b	
534	5	1	0	-1	0	262	184	1	0	-1	534	0	-1	静默诅咒c	
535	11	1	0	-1	0	262	184	1	0	-1	535	0	-1	狂战士buff	
536	11	1	0	-1	0	262	184	1	0	-1	536	0	-1	狩猎之夜buff	
537	11	1	0	-1	0	262	184	1	0	-1	537	0	-1	洪流buff	
538	11	1	0	-1	0	262	184	1	0	-1	538	0	-1	割裂buff	
539	5	1	0	-1	0	262	184	0	0	-1	539	0	-1	决斗buff	
540	11	1	0	-1	0	262	184	1	0	-1	540	0	-1	眩晕buff	
541	11	1	0	-1	0	262	184	1	0	-1	541	0	-1	守护天使buff	
542	12	0	0	-1	0	262	184	0	0	-1	542	0	-1	割裂掉血	
543	11	0	0	-1	0	262	184	0	0	-1	543	0	-1	反击螺旋受击	
544	11	0	0	-1	0	262	184	0	0	-1	544	0	-1	刺针扫射受击	
545	11	0	0	-1	0	262	184	0	0	-1	545	0	-1	地震受击	
546	11	0	0	-1	0	262	184	0	0	-1	546	0	-1	肉勾反击受击	
547	5	0	0	-1	0	262	184	0	0	-1	547	0	-1	洗礼c	
548	5	0	0	-1	0	262	184	0	0	-1	548	0	-1	狩猎之夜b	
549	11	1	0	-1	0	262	184	1	0	-1	549	0	-1	狂战士buff	
2001	2	1	0	-1	0	0	0	0	0	-1	2001	-1	-1	大教堂1	
2002	2	1	0	-1	0	0	0	0	0	-1	2002	-1	-1	大教堂2	
2003	2	1	0	-1	0	0	0	0	0	-1	2003	-1	-1	沉睡之海a	
2011	11	1	0	-1	0	0	0	0	0	-1	2011	-1	-1	蓝心冰川1	
2012	2	1	0	-1	0	0	0	0	0	-1	2012	-1	-1	蓝心冰川2	
